,G,I,Q,H
58,False,361.8630046145718,1447.2170033423897,True
59,True,190.16229768929594,1054.2575434145397,False
60,False,167.5715919288828,633.5586919049064,False
61,False,178.99030424720686,780.7822463178776,False
62,True,251.79456080150203,1400.9129038982564,True
63,True,241.98173641036965,1237.9584369003878,True
64,False,304.723756678559,1211.8677471276824,True
65,True,236.50656047826416,1174.418487897459,True
66,True,276.8073033606407,1403.5623354994239,True
67,False,162.33288320932758,711.6961996271119,False
68,False,227.89249592908624,1030.6336502344245,False
69,False,426.3671894109576,1590.7742080352727,True
70,False,192.87880689983217,888.8412006876076,False
71,True,244.93937157616227,1283.0163747039885,True
72,False,270.3664826379645,1278.7579265318095,False
73,False,259.4369627439095,1064.6419573515611,True
74,False,327.8437929991595,1324.9155427915305,True
75,True,452.1331603810588,2174.3694931437126,True
76,False,174.52518836182642,593.9176197281903,False
77,True,232.3258932874142,1168.679697627502,True
78,True,356.19494973826306,1628.5110312239808,True
79,True,365.53330923632575,1692.5324349235752,True
80,False,292.65593691975585,1153.1284299258132,True
81,True,283.29030736936795,1467.0862732065777,True
82,True,219.46375264133226,1187.1930828620045,True
83,False,261.2533303294499,991.3526822612064,True
84,False,229.60726371646044,951.26677654421,False
85,True,239.31803836479423,1227.0507309504978,False
86,False,219.55597750721827,971.6474413847627,False
87,False,202.20375863592167,756.4380117680502,False
88,False,264.8178859747526,1026.3522557651784,False
89,False,261.2342470487777,1083.5422067557643,True
90,True,305.59104310362784,1479.0183636814534,True
91,True,343.3484672278918,1617.4375855109136,True
92,False,351.57601493209324,1460.1608431262007,True
93,True,225.51518129848765,1144.2017749127483,True
94,True,399.5932334989398,1849.661182587927,True
95,True,308.1733483714089,1504.2490310980043,True
96,True,316.6973173928253,1527.6976066309767,True
97,False,310.89989618883214,1337.6701425148285,True
98,False,148.69451228269804,572.6039321285807,False
99,False,150.35531882117544,641.3789603136785,False
100,True,420.91728403077707,1906.0624020328983,True
101,True,186.18165392923953,948.2321952552956,False
102,False,225.92637230761656,904.4024769034082,False
103,False,236.98334328327138,917.9175864507168,False
104,True,443.97900626946273,2006.7384196903708,True
105,True,331.69835013467093,1567.8693114175526,True
106,False,247.35477124615693,1007.8780036607657,True
107,False,222.1607317316886,803.485405916254,False
108,True,156.6262424639575,919.5334347590979,False
109,True,229.86900028020509,1180.5229127358016,True
110,True,266.4634493743373,1339.8691779711196,True
111,False,171.3266802150373,695.1233614747196,False
112,True,160.97971294695105,928.9561373280976,False
113,True,259.98745462515444,1299.3741520568688,True
114,True,260.98235324445363,1285.437099902675,True
115,False,191.21144716263512,750.9032212715706,False
116,False,186.43644545944403,882.5166075592342,False
117,True,278.6896792199634,1445.3223347833598,True
118,False,286.10139246646594,1056.1566251082322,True
119,True,155.82898342998413,829.2889900982436,False
120,False,243.49747823457716,1006.2501347660333,True
121,False,160.03811937733678,684.4927872059518,False
122,False,198.59068979624706,639.8115038834029,False
123,False,290.58726611522894,1039.8228457092557,False
124,True,240.1136402210533,1280.963837500433,True
125,False,386.33950003504737,1506.1156854175608,True
126,False,294.9260084951309,1187.9097390677434,True
127,False,232.21461815334408,1054.2665322917805,False
128,True,475.5422669594757,2208.135585110145,True
129,True,289.5878482583615,1460.865431307552,True
130,True,165.08317303688088,901.4496594868118,False
131,True,452.04943143389755,2066.1259804010606,True
132,False,280.00898457824894,1181.6946528141166,False
133,False,313.31719597833165,1343.7168497610428,True
134,True,136.9339091379739,730.796078734445,False
135,True,230.3258422194969,1143.625423486716,False
136,False,193.2613632099206,797.8359438291902,False
137,True,176.94107555762224,923.3289574097172,False
138,True,263.1997790103927,1286.4551838364378,True
139,False,186.48069752353564,782.0059374348041,False
140,True,220.07657147523514,1064.8245440255291,False
141,True,302.8419581091293,1480.5830538902687,True
142,False,185.7047337098124,677.9114921054156,False
143,False,263.9149672069281,1090.6241567783472,False
144,False,299.51020180170366,1254.9648344965083,True
145,True,206.4406671988698,1120.0115474706606,True
146,False,328.11511564801333,1315.486661489093,True
147,True,378.3990476835287,1718.7770745287987,True
148,False,305.4052131969469,1169.8827247172994,True
149,False,378.4619263515728,1533.9935019793736,True
150,False,233.7248339267696,886.8241614517417,False
151,True,273.55360263281375,1422.4864200283428,True
152,False,203.80826807419623,921.6716927030532,False
153,False,291.0216876290815,1186.064275482195,True
154,False,278.84917674219326,1182.9698255543958,True
155,False,177.98392376754003,663.8143659904833,False
156,True,165.2187383321957,949.985987577786,True
157,False,326.79524181578,1373.4410102523368,True
158,True,369.2815031816491,1660.7477383733224,True
159,True,331.71599313154513,1566.7937502545115,True
160,True,226.51105590389744,1035.211583005967,False
161,False,230.1459388162304,896.5289596872241,False
162,True,233.54389621687125,1282.916888530878,True
163,False,221.21953116176962,777.4055582616868,False
164,True,299.9359189914768,1407.2803180861567,True
165,False,329.46027534759924,1271.069420215331,True
166,True,402.84112760910915,1767.6226883297786,True
167,False,180.95036368177983,592.7854786548531,False
168,False,161.81201214374758,691.9512266983637,False
169,True,184.99092624180815,1049.6843590403253,False
170,True,271.37688048738255,1381.5252296686617,True
171,False,320.2707008121388,1330.621217338008,True
172,False,306.29494895241464,1273.2812376321747,True
173,False,259.77342278635723,977.7470546215541,False
174,True,226.1050760586607,1173.1706978340314,True
175,False,246.53365010902235,973.0129984600793,False
176,True,233.78430320712656,988.4195567897349,False
177,True,208.33381851215665,1135.210458540966,True
178,False,163.3506979158559,814.6999426062882,False
179,True,492.6354061973942,2231.59672763929,True
180,False,199.59787727269,717.2018690902622,False
181,False,155.61343001403168,623.3440699686145,False
182,True,322.32718579432424,1550.48712047733,True
183,False,329.63145602781,1454.6392585240262,True
184,False,182.5229979838716,733.2706240872897,False
185,True,269.87209464050443,1123.1327673386074,True
186,False,292.129840293904,1179.6352224516522,False
187,False,239.12537763206927,1110.6997712669086,True
188,True,198.0161728245256,1051.6733343993192,False
189,False,167.4269491076975,637.2297974663197,False
190,False,166.9831521728272,678.0565351574863,False
191,False,214.52011296050807,841.9058444415834,False
192,True,193.97490446718746,916.5403745017657,False
193,False,409.08329851593976,1661.2542049177011,True
194,True,317.10683672910625,1664.678750893097,True
195,False,151.66224443699554,554.946567692337,False
196,False,210.94400107162977,832.2461962185929,False
197,False,280.104783060367,1195.830341234651,True
198,True,272.32011677096705,1347.9616985986859,True
199,True,138.3069891054032,745.6608379078215,False
200,False,351.0289753006548,1567.420419384966,True
201,True,220.22034475196142,987.288534299488,False
202,False,226.4641741565672,787.7722573891542,False
203,True,164.81108330492856,959.6856901854181,False
204,True,245.60303600685384,1270.7574435688243,True
205,True,228.7379329808773,1319.4414489680453,True
206,True,147.49544706002877,893.581458127695,False
207,False,219.60598588136972,862.5436153299904,False
208,False,302.0211436960833,1224.2670381640924,True
209,False,333.44885688210354,1349.094194145742,True
210,False,384.2607536541407,1455.195458069607,True
211,False,223.9942596286349,834.1652021338804,False
212,False,333.7375394201266,1275.3248557257868,True
213,True,190.4751229251001,1051.6090235595998,False
214,False,265.0222070551985,1022.0178704209306,False
215,False,229.16974055691804,1008.9356792374654,True
216,True,399.6721886855759,1951.460774243555,True
217,True,330.7707461333207,1567.9014916887224,True
218,True,161.36270139991723,851.3701418190063,False
219,True,473.71787044269746,2202.0274953816056,True
220,False,356.5703817003613,1428.0077126761082,True
221,True,253.8533764717444,1196.4518320334034,True
222,False,329.6942085240676,1227.6810219387473,True
223,False,291.31518795362587,1187.3099128212923,True
224,True,302.5621533711365,1529.1799517416048,True
225,True,412.393961563508,1774.6584015676249,True
226,False,164.17988517651162,654.8562662745979,False
227,False,195.723751156479,823.9189850276816,False
228,True,257.0991177574953,1427.0741910894626,True
229,False,181.76768195315896,743.9430410500107,False
230,True,225.89758565007747,1074.8219249912108,False
231,False,209.34146566677992,866.5963822369081,False
232,True,240.12190722482467,1161.8316893467584,True
233,True,214.262521557406,1150.5356591410978,True
234,False,235.25753261380237,853.0449653395253,False
235,True,316.52295949012614,1446.3020332704498,True
236,True,178.48782523992026,989.742145460779,False
237,True,223.84361645174687,1244.5631321850346,True
238,False,217.31324221288133,836.7333113378048,False
239,True,156.3788886381078,1002.9881614255124,False
240,True,290.2084094790134,1379.193265401718,True
241,False,251.31452528330175,1116.5996491616927,False
242,True,207.24105783280652,1094.377709581701,False
243,False,290.50446493938455,1282.8193876797422,True
244,False,305.4066358979753,1220.419898928026,True
245,True,356.23655037458826,1703.920980148679,True
246,False,190.19464360158685,694.0238217208707,False
247,True,222.51089904999526,1149.2151185178388,True
248,True,315.3520313791174,1560.299442969284,True
249,True,210.04164204700498,967.569012668343,False
250,True,242.44461043027334,1230.5775858551735,True
251,False,285.18921509917385,1250.633449220099,True
252,True,257.0974131912907,1302.9148939113293,False
253,True,293.4797608745618,1524.3578443848542,True
254,False,182.09997220958118,763.7025647096237,False
255,False,167.96834822575454,652.7979937000371,False
256,False,450.42154280015217,1739.5501575237693,True
257,True,238.8392196454383,1125.1885820170573,True
258,True,295.01642438051977,1525.174625643212,True
259,False,254.841742825635,888.0730743536985,False
260,True,144.33418250605422,884.4912744373413,False
261,False,204.17398274534946,845.1662201131654,False
262,False,250.88142966938813,1006.6362654360851,False
263,False,238.55257803480896,988.4297115540905,False
264,False,190.39884314629387,704.332053105308,False
265,False,178.45022100585896,807.6654701172864,False
266,False,185.1080626821535,659.1430575647373,False
267,True,280.65231606913386,1239.7516597063077,True
268,True,418.3875238923316,1941.619174058566,True
269,True,413.1826731589938,1916.652657400522,True
270,True,291.043387181664,1372.256172062071,True
271,False,247.3563784047069,1048.660046403137,False
272,False,369.79466739536133,1431.0817537247901,True
273,False,214.80101204312837,987.0214064995682,False
274,True,181.9492187402303,1034.2697729114861,False
275,True,205.0099779882995,1056.9366947034096,False
276,False,298.0860335301288,1136.4869248519233,True
277,False,162.104370184162,593.8389422640341,False
278,False,331.130136548138,1399.3474294083717,True
279,False,256.6434670104243,1027.8954237994797,False
280,True,438.7125617251503,1988.766561581746,True
281,True,192.32493244642998,977.0630611303308,False
282,True,201.79303327236636,1078.4171847013079,False
283,True,342.53715182653775,1616.78473638761,True
284,False,382.95381066933066,1598.277965997283,True
285,False,278.46521583278764,1201.026648224581,True
286,True,187.66971169179197,918.4167009920262,False
287,True,199.2802352058492,970.2705369910692,False
288,False,226.8464627600628,857.3683537987501,False
289,False,392.42275630777465,1533.1782572114091,True
290,True,277.1045958788005,1276.3683074323721,True
291,False,318.0690678930356,1239.9369864559985,True
292,True,167.4642968315576,775.4516767605119,False
293,False,174.00300333621084,677.143239843917,False
294,False,406.41829364473915,1587.498558842484,True
295,True,166.82023199243613,872.7430576539979,False
296,False,308.1259792912209,1351.5916004713404,True
297,False,228.21969906660127,891.2328454517874,False
298,True,397.91154554594806,1856.2544051704283,True
299,False,326.91956188133474,1302.5457770041628,True
300,True,506.49686049446024,2354.502158947977,True
301,False,217.09653483366336,879.6377812006898,False
302,True,193.4586648682241,998.2949739614537,False
303,True,230.21834136254756,1246.3911168342079,False
304,True,193.7099580720453,1064.8852322947394,True
305,False,599.5180729365168,2377.411695027492,True
306,False,214.0726117464939,853.9817186426689,False
307,True,161.61756188735617,923.2435636100029,True
308,False,335.6972497172912,1292.6998629409204,True
309,False,258.9448341627712,1020.9823195301448,True
310,False,301.2429544780001,1266.2230094769905,False
311,False,202.21194164226975,857.6260034142116,False
312,True,224.9911618350312,1235.368026426054,True
313,False,223.7213313923455,773.4897963824062,False
314,False,255.8760211436366,1031.9136053933116,False
315,False,177.6787333446925,665.4189910284964,False
316,False,228.10223378487933,815.2665413131144,False
317,True,140.77086906958812,866.4115657076093,False
318,False,247.2743411872508,1089.0683830808437,True
319,False,215.1679121262374,841.6215771398594,False
320,True,197.64115573801286,1060.5609649813246,True
321,True,299.3621444413093,1290.617352983493,True
322,False,200.57394532120276,863.2102990317231,False
323,True,249.78057667644805,1351.1981078714073,True
324,False,207.46020015864605,917.7302136756457,False
325,True,212.38929805813655,1003.2979133363625,True
326,True,193.94770850332844,1116.081854400137,False
327,True,282.06460855041144,1434.54334971115,True
328,True,252.5705095568684,1267.6282459862573,True
329,True,205.50015257439384,1204.4886634818586,True
330,False,236.03558595931435,993.4241634565801,False
331,True,339.7438849213582,1644.4239601815225,True
332,False,165.36358443214976,640.1467102704014,False
333,True,286.10854291652873,1535.3060264252974,True
334,False,118.23579391451312,598.7003443139934,False
335,True,180.0593553748198,1035.8382664447968,True
336,True,227.6754550071596,1199.5769780834612,True
337,True,185.65000647632468,1057.7980986521954,True
338,True,191.58558446549716,1037.7071884904435,False
339,False,156.89214322429416,517.2538203397194,False
340,False,245.09909068167536,962.8765595971512,False
341,True,304.00877717498435,1350.0098936114107,True
342,False,209.8902124365619,851.2625724920018,False
343,True,194.19778967435977,984.6987559472417,False
344,True,280.8477094473708,1467.7876362150137,True
345,False,182.79997957463092,714.4918987724783,False
346,True,188.9229852230647,1098.481840870312,True
347,False,200.6171327928964,797.1658048110979,False
348,False,278.7497762571676,1183.0113006893976,False
349,True,272.3081809482758,1339.9708010205418,True
350,True,210.34065513514906,939.5731669148998,False
351,False,401.427870265391,1566.3278810645609,True
352,False,299.3631269887811,1048.0263132279363,True
353,False,258.09704542711006,1059.962021522799,True
354,False,187.62142981894425,698.4968883210531,False
355,False,214.95481990249118,755.5476779748295,False
356,False,266.4936657116149,1003.4142181158888,False
357,True,289.54818459115614,1351.0686250517156,True
358,True,179.8179094533058,992.8646682546055,False
359,True,357.5144819058045,1690.0377806906656,True
360,False,322.5471149789725,1360.078836576187,True
361,True,312.1523550280588,1554.2424193658076,True
362,True,224.89527870918107,1231.255725109708,True
363,False,171.48558055828858,607.6256632442419,False
364,True,254.40497884969375,1366.7642011704745,True
365,True,155.74666494049737,962.2809431526406,False
366,False,286.45613715504066,1179.7275937556144,True
367,True,284.0024812383765,1350.6369440858607,True
368,True,176.86438886043885,884.9603921951449,False
369,True,157.28074522685583,918.855479272408,False
370,False,388.199377159327,1681.2418301697546,True
371,True,178.72357951118394,922.030123118081,False
372,True,153.78280922835643,968.4029625001899,False
373,True,291.7246914332865,1357.3778890032181,True
374,True,298.8277056598142,1448.3309226198776,True
375,True,215.98241942888842,1130.0819054450967,True
376,False,212.35996062554656,790.1909761760371,False
377,True,232.90177363936277,1059.189597574635,True
378,True,187.5497459074112,998.3298267210171,True
379,False,265.99422627809724,1072.546322612257,False
380,False,181.90582180665234,642.7226875754443,False
381,True,212.994226562067,1175.6377249784132,True
382,False,313.86492548318404,1262.2493006437805,False
383,True,425.79670720253466,1946.7712999998712,True
384,False,279.2297029585977,1157.231238228102,True
385,False,171.5074631577432,627.5658265785373,False
386,False,222.47324373236702,892.1191109037292,False
387,True,301.34764094442374,1576.7528649778112,True
388,True,189.84860212378808,971.3975454872607,False
389,True,314.8015540759572,1516.2731703894133,True
390,True,317.3582219991433,1461.8321655457062,True
391,True,228.20019204546213,1109.159885664183,False
392,True,306.8890190853007,1419.5207617608296,True
393,False,342.8257492858321,1412.4998218183312,True
394,True,207.07545051257944,1102.0723591355716,False
395,False,302.87078066557814,1241.872317355963,True
396,False,150.92976451693443,408.4467664181227,False
397,True,241.81768500362074,1297.2674159323385,True
398,True,177.0722365274728,944.1348032469435,False
399,False,341.0508593817651,1407.9237496741005,True
400,False,493.65189231492894,2012.2823800485098,True
401,False,311.28654762897963,1213.85246687219,True
402,True,240.55369740447662,1257.0562070572537,True
403,False,178.05241890894712,540.1902549560783,False
404,True,230.76902299781972,1114.4244108295218,False
405,False,270.4943737589758,979.4262468750647,False
406,False,149.0464557480769,626.2681779439024,False
407,False,359.95104984672764,1355.5303242459017,True
408,True,181.00117960272013,992.4029873957081,False
409,False,227.9247728749615,839.8854331002195,False
410,False,281.80341244480786,1162.3614692243575,True
411,False,227.3323812245466,771.9166651114634,False
412,True,165.4705359429044,943.0890043432994,False
413,True,216.98641228169234,1051.8496975581752,False
414,False,192.32454618217352,789.3024006617114,False
415,False,317.31956759950606,1289.9870782971127,True
416,False,139.10749031678517,548.3747750437806,False
417,False,127.72521706766216,547.2576213377695,False
418,True,333.73485005888404,1599.5927002304954,True
419,True,166.02047753163018,913.0222316653568,False
420,True,456.21445230100926,2023.187749810476,True
421,True,179.03691439984976,855.2414502742862,False
422,False,344.49592860588325,1325.943661006695,True
423,True,201.21860474998027,1019.284159464491,True
424,True,206.10792791648498,1160.6720256070512,True
425,False,174.2326169202611,722.1221638547348,False
426,False,197.82128145458017,821.8355044960763,False
427,True,255.8989801793034,1249.3971837223123,True
428,True,291.5530071829289,1370.9786477833811,True
429,True,185.6168221382366,959.224554508137,False
430,False,378.0434317960574,1365.684073070282,True
431,True,283.3221131101228,1452.115744379782,True
432,False,281.9006334975039,1055.3894734707594,False
433,False,343.4522721684458,1325.6374509201269,True
434,False,161.3541267468331,627.2852118312128,False
435,True,157.34622262172,929.148239391166,False
436,True,272.88307080586014,1281.9251573788501,True
437,True,279.5869310598034,1341.6765383811928,True
438,True,251.53898623021672,1286.4100834040194,True
439,True,529.9553524962458,2409.3949429376416,True
440,False,166.65036353520588,814.8107223571055,False
441,True,379.5567578923135,1682.675127444099,True
442,True,171.38726662360034,954.2394769968498,False
443,True,327.5790166282774,1535.7229306270774,True
444,True,214.02388255544162,1002.5679163089786,False
445,True,311.28684342929245,1333.6936823982999,True
446,True,254.23513114354319,1169.305837571103,True
447,True,222.19360028742187,1058.6053804560618,False
448,False,180.037449827874,723.2826986251057,False
449,False,382.4764893732742,1572.8155947311934,True
450,False,160.861333411909,755.6226431718493,False
451,True,216.49469156757362,1060.1272928469507,False
452,True,212.28136688144036,1114.4013978779913,True
453,False,205.4978425147749,777.9331369118412,False
454,True,349.3449928778434,1612.9777349405997,True
455,False,147.7424225085818,548.0093955560047,False
456,False,234.94789890776877,797.470083476572,False
457,True,273.19049202525184,1306.317479400631,True
458,False,242.06143567738377,1041.0823342690699,False
459,False,258.1663445270566,1068.436965745937,True
460,False,186.46546153138928,703.8946881452337,False
461,True,184.36921905211796,1103.221484128972,False
462,True,409.8306220906139,1956.0092843409825,True
463,True,367.39766162483994,1850.1803876308745,True
464,False,404.04483049489784,1533.6211469678433,True
465,True,324.08951021523046,1454.6387533205384,True
466,True,468.7705658957492,2075.781370979473,True
467,True,135.39428096508993,739.8214728915121,False
468,True,229.5347776379639,1134.9168312014863,False
469,True,407.18141996788756,1991.9296456144605,True
470,True,207.15913319934236,1064.3043858791036,True
471,True,210.88035444201412,1179.7015280232868,True
472,True,210.3309194121149,987.5586591100716,False
473,False,486.6316227606426,1991.8097602994344,True
474,False,179.23553723165173,935.162284751541,False
475,False,323.1439851476247,1393.956561386984,True
476,False,190.77090868805521,729.0679934859515,False
477,False,231.1944885071486,1034.4339827595995,False
478,True,200.74149994586415,1119.6518201456026,False
479,False,215.28620128861849,765.954266943563,False
480,False,649.4374285537574,2571.0238568911245,True
481,True,222.9780911440772,1056.598207608975,False
482,True,265.05642513859846,1404.0465769706036,True
483,True,181.8694975075693,1043.8047361893327,False
484,True,532.10620048204,2399.062384423728,True
485,False,240.22577594538419,906.4936473970041,False
486,False,282.4562920354199,1199.6180742255592,True
487,False,199.7318697841623,785.5489987880294,False
488,False,336.17693096144836,1404.207605263297,True
489,False,290.2019685295992,1187.9253734062238,False
490,False,170.81031190464563,526.6527029950005,False
491,True,166.30736082167817,894.4601242583191,False
492,False,432.36374054892065,1680.895068960367,True
493,True,296.71346114038397,1491.0766846240347,True
494,False,384.4759944042804,1587.6211075124802,True
495,True,274.3443148200894,1300.3991207720514,True
496,True,415.0083921226247,1923.5593734246772,True
497,False,155.05098542735442,636.0967710139233,False
498,False,254.80081045121915,1032.4345834880955,True
499,False,197.14504683637347,749.6966483553065,False
500,True,227.39154417264496,1127.5058262193036,True
501,True,303.8820883381263,1457.2476294094147,True
502,False,600.7668812318553,2353.0421531805982,True
503,True,252.09966005267705,1206.7467955423124,True
504,True,245.1652576292395,1173.18551160484,True
505,False,287.04988952106055,1153.4758367559846,False
506,True,427.7098936882793,1912.849256172338,True
507,True,560.7214760627353,2437.17110620246,True
508,False,192.05291606086888,878.6315053169133,True
509,False,301.8974092762851,1243.186082269162,True
510,True,337.2408489238251,1654.1418353813265,True
511,True,281.2548700946062,1325.166642373333,True
512,False,190.3837228893036,864.8718369223964,False
513,False,302.72425596111384,1127.9400485252254,False
514,False,261.1555852119228,1004.9921324490724,False
515,True,225.30591929041788,1096.569057320682,False
516,True,178.55753151912893,939.5769863762469,False
517,True,242.06723565675304,1062.4894330499487,False
518,True,231.7226409194784,1260.9366029777634,True
519,False,361.44929438231947,1358.4882986733928,True
520,True,190.24099916698663,951.2048018476207,False
521,False,515.1117872934126,2086.0692540332916,True
522,False,314.37102469274,1275.268903328583,True
523,False,233.11034720508815,915.7065160310001,False
524,False,370.5887996443386,1420.0477102752825,True
525,False,258.346196233946,948.459449792131,False
526,False,192.69551889778023,724.1595316361789,False
527,True,198.3774143517292,1077.5505074463615,True
528,True,252.14726260946458,1265.0725497682083,True
529,False,395.4765031443334,1609.018576007952,True
530,False,162.90375481422893,522.9008832674939,False
531,True,279.9234165769145,1383.8240201300073,True
532,False,191.06705894918144,652.8699334221739,False
533,True,268.17651939959717,1355.1732774098316,True
534,True,260.6879936437215,1217.8096322367846,True
535,True,268.28624001394076,1381.1515687230983,True
536,False,399.27688986884766,1676.3571313748741,True
537,True,201.24218499882141,1112.2218369547772,False
538,False,261.0156555527884,1142.0704927175059,False
539,True,264.71246275287166,1213.822844458685,True
540,True,307.08910842030747,1419.2564438112302,True
541,False,457.5355769755977,1840.3210907810178,True
542,False,194.60561900859045,686.8733116775205,False
543,False,222.0820824015202,948.5662235534597,False
544,True,265.40403056079356,1286.5294937030012,True
545,False,220.54940802660437,865.2113284980894,False
546,True,240.71313942539626,1169.3085644860332,True
547,False,199.90945055129225,753.3571681853758,False
548,True,160.63171301473002,850.035972394208,False
549,False,223.2055426357976,816.0090188059471,False
550,False,294.3587552180552,1090.0764628562295,True
551,False,176.32572139153206,787.0480464860251,False
552,True,350.9481044601342,1674.5641345418162,True
553,True,238.24465073654454,1136.3910086330197,False
554,True,305.1444204738234,1444.068129614436,True
555,True,156.07924540232716,811.1368593633324,False
556,True,238.1234465231285,1233.0578598309398,True
557,True,194.81446444528032,971.0005592324603,False
558,False,217.65398147294022,899.0738790935466,False
559,False,214.40330084010066,831.446085278747,False
560,False,152.01327710554418,590.9948269476262,False
561,False,254.2611483544776,969.2239015616747,False
562,True,215.33263437929793,1185.888633915743,True
563,False,247.1410402511257,1047.824277473516,False
564,False,326.8615797033611,1259.5470530592147,True
565,True,480.23691797225086,2256.56224994201,True
566,False,224.78207753873784,899.6638976967944,False
567,True,279.2708115433068,1423.0532584045914,True
568,True,293.57828526802626,1355.9352514212762,True
569,False,254.76660677142453,1079.9231864233004,False
570,False,327.6609345416064,1394.6080611408554,True
571,False,427.6746213468915,1762.240784922877,True
572,True,294.99295371828777,1367.139952652672,True
573,False,536.9225418125533,2010.4739740487366,True
574,True,515.2690818766241,2147.3867092443247,True
575,False,205.565087312051,826.5014899196435,False
576,False,219.744258171662,924.2020734922726,False
577,False,255.5462655160233,1010.2043296477891,False
578,False,281.94650739892086,1062.5994796727734,False
579,True,307.244289334576,1514.6406757445618,True
580,True,308.1255300795714,1504.0940014650198,True
581,False,277.3366472272091,1101.056069941391,True
582,True,227.39977306403273,1013.8065765488564,False
583,True,143.68114878743316,726.1637109576395,False
584,True,344.53317757503214,1757.6949496894458,True
585,True,223.99940867082555,1099.5623421934376,False
586,True,204.15690895977318,1058.907341920863,True
587,True,248.04127800978085,1223.0377776188318,True
588,False,312.6098085960101,1239.3945561059172,True
589,False,443.6330131146366,1863.8820549716263,True
590,True,252.10868731877736,1351.985129100999,True
591,False,333.48859162272083,1390.700067327078,True
592,False,248.2205927588716,944.0943813214717,False
593,False,309.15517925309814,1141.914138206836,False
594,False,212.5609268118689,749.6271153383001,False
595,False,205.9222631525172,823.4800516585007,False
596,True,333.83543946495706,1434.1413083430966,True
597,True,357.28396336060933,1642.955702943424,True
598,False,308.8650460199681,1365.2047385531873,True
599,True,308.375993054622,1485.9399464218538,True
600,False,186.9278178821126,688.1810117812776,False
601,False,273.719235686783,1182.1353318847346,True
602,False,390.0677267884439,1536.5616904357864,True
603,True,205.6735670385799,1000.1568736369483,False
604,True,249.4303872760319,1292.3140164275212,True
605,True,258.429870023906,1194.6112924312508,True
606,True,227.48089857385446,1178.2898035901999,True
607,True,642.4426858707725,2740.738711421205,True
608,False,271.2544635660317,1084.8439437849845,False
609,True,292.39304845020047,1387.167519953613,True
610,True,196.89056384981933,1124.395054282971,False
611,False,166.97974615571212,754.776021120669,False
612,True,214.2360968576525,1062.920808641032,False
613,False,282.37806823173935,1133.9639463630363,True
614,False,267.3846621011511,1163.7142015227603,True
615,False,266.0340928116472,1050.4440798340688,True
616,False,194.33292187710822,730.0280086112087,False
617,True,455.5401624021388,1918.6877638208173,True
618,True,160.67593144533095,895.272583283584,False
619,True,192.79405766891443,1151.901092774877,True
620,False,491.41620792912903,1873.209369914221,True
621,True,528.3717397385475,2482.5979992191087,True
622,False,316.61641647054796,1350.495831261042,True
623,False,240.28498455571676,1116.8319873743046,False
